Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A899374,"ELROY RD78617
(30.139342005, -97.617912908)",Yes (come to the shelter),03/04/2024,Dog,Pit Bull Mix,White/Black,Intact Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899374
A899471,"606 WEST SLAUGHTER LANE
AUSTIN 78748
(30.173024009, -97.79954099)",No (contact for more info),03/05/2024,Dog,Bernese Hound/Great Dane,White/Tan,Intact Male,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899471
A899263,"WEST WILLIAM CANNON DRIVE
AUSTIN 78745
(30.202458394, -97.805085139)",Yes (come to the shelter),03/01/2024,Dog,Miniature Schnauzer,Gray,Neutered Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899263
A880827,"8604 SILVERTHORNE ST
AUSTIN 78744
(30.146105988, -97.722933999)",Yes (come to the shelter),03/03/2024,Dog,Siberian Husky,Black/White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A880827
A899627,"1601 ROYAL CREST DR
AUSTIN 78741
(30.238294015, -97.729114982)",Yes (come to the shelter),03/07/2024,Cat,Domestic Shorthair,Blue Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899627
A899442,"1735 RUTLAND DRIVE
AUSTIN 78758
(30.376642021, -97.711361022)",Yes (come to the shelter),03/04/2024,Dog,Chihuahua Shorthair,Brown,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899442
A899223,"9900 S IH
AUSTIN 78744
(30.1939567, -97.7439501)",Yes (come to the shelter),03/01/2024,Dog,Labrador Retriever/Boxer,Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899223
A899577,"1800 EAST OLTORF STREET
AUSTIN 78741
(30.232276982, -97.736291987)",Yes (come to the shelter),03/06/2024,Cat,Domestic Shorthair,Tortie,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899577
A899523,"2250 RIDGE POINT DR
AUSTIN 78754
(30.330651985, -97.676262976)",No (contact for more info),03/05/2024,Cat,Domestic Shorthair,Brown Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899523
A899637,"AIRPORT
AUSTIN 78702
(30.281990008, -97.703610024)",No (contact for more info),03/07/2024,Dog,Rhod Ridgeback Mix,Red,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899637
